date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:29	20/20	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Dec%202023%2010:58:32%20GMT	https://gymfittemplate-showcase.sewatech.io/robots.txt		(from )
16:43:30	73974/73974	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2010:58:33%20GMT	https://gymfittemplate-showcase.sewatech.io/	D:/framer/https___gymfittemplate-showcase.sewatech.io_/gymfittemplate-showcase.sewatech.io/index.html	(from )
16:43:31	285109/285109	---M-Z	200	added ('OK')	text/css	etag:%224a6a1a0093c971696c0f153c21c6cad6%22	https://assets.website-files.com/621d8b0423efcfa5ba281fb6/css/gymfittemplate-showcase.sewatech.d13b28e5b.css	D:/framer/https___gymfittemplate-showcase.sewatech.io_/assets.website-files.com/621d8b0423efcfa5ba281fb6/css/gymfittemplate-showcase.sewatech.d13b28e5b.css	(from https://gymfittemplate-showcase.sewatech.io/)
16:43:31	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/framer/https___gymfittemplate-showcase.sewatech.io_/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://gymfittemplate-showcase.sewatech.io/)
16:43:32	1926/1926	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2297e6a1d18d442ccc2cbad78aa219f038%22	https://assets.website-files.com/621d8b0423efcfa5ba281fb6/621d8b0423efcfd501282062_favicon-gym-x-template.svg	D:/framer/https___gymfittemplate-showcase.sewatech.io_/assets.website-files.com/621d8b0423efcfa5ba281fb6/621d8b0423efcfd501282062_favicon-gym-x-template.svg	(from https://gymfittemplate-showcase.sewatech.io/)
16:43:33	2044/2044	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ca2b12baf62ea35065d5ea6d159aeb51%22	https://assets.website-files.com/621d8b0423efcfa5ba281fb6/621d8b0423efcf483c282063_webclip-gym-x-template.svg	D:/framer/https___gymfittemplate-showcase.sewatech.io_/assets.website-files.com/621d8b0423efcfa5ba281fb6/621d8b0423efcf483c282063_webclip-gym-x-template.svg	(from https://gymfittemplate-showcase.sewatech.io/)
16:43:34	3591/3591	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226e973482a734642b8d2a8c439b88f503%22	https://assets.website-files.com/621d8b0423efcfa5ba281fb6/621d8b0423efcf26d6282089_logo-gymfit-x-template.svg	D:/framer/https___gymfittemplate-showcase.sewatech.io_/assets.website-files.com/621d8b0423efcfa5ba281fb6/621d8b0423efcf26d6282089_logo-gymfit-x-template.svg	(from https://gymfittemplate-showcase.sewatech.io/)
16:43:35	66158/66158	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2010:58:37%20GMT	https://gymfittemplate-showcase.sewatech.io/about	D:/framer/https___gymfittemplate-showcase.sewatech.io_/gymfittemplate-showcase.sewatech.io/about.html	(from https://gymfittemplate-showcase.sewatech.io/)
16:43:36	47272/47272	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2010:58:38%20GMT	https://gymfittemplate-showcase.sewatech.io/classes	D:/framer/https___gymfittemplate-showcase.sewatech.io_/gymfittemplate-showcase.sewatech.io/classes.html	(from https://gymfittemplate-showcase.sewatech.io/)
16:43:37	47480/47480	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2010:58:39%20GMT	https://gymfittemplate-showcase.sewatech.io/shop	D:/framer/https___gymfittemplate-showcase.sewatech.io_/gymfittemplate-showcase.sewatech.io/shop.html	(from https://gymfittemplate-showcase.sewatech.io/)
